"uuid","magical_power","level","networth"
"00ff8a5374b244c19dc42387148e06b2",1489,361.21,"27,065,066,060.11"
"01024ae3e2bb4947a58862f29d0cd1ee",368,131.34,"936,191,403.57"
"01027115b5814b5592dde3bf8ced6f15",949,271.6,"6,948,774,087.42"
"0102cf95873b4ca1bd22ee29eed8bbfb",458,144.57,"1,881,695,285.28"
"01040792e556481bab77e39828dc6206",1651,429.06,"53,397,946,468.20"
"0104097d599c4bc4894e320878cdbdb9",1092,368.99,"14,170,940,308.44"
"010b309ce28745529f4fd39cc5e505f8",234,81.5,"715,025,114.35"
"010ce6c092114e308e0495f083cf3799",1407,377.45,"28,676,500,942.09"
"010d775f580342979d59ddb978537727",1387,287.28,"19,674,102,332.41"
"010ef25dc3ec46e08dcbf315236f87ef",857,261.33,"4,988,117,569.46"
"01102f1885304975b142e92f6acf15bd",640,208.03,"2,892,951,310.98"
"0111b7392d9344c49e40cee00d28796c",1259,259.54,"10,886,794,207.75"
"0112959414ab47099212f948e1b3d261",955,246.49,"6,901,028,175.71"
"01139046dbc3410b8d67cba5ce9fc6ed",1433,401.2,"31,132,372,005.35"
"011530d2f71b4506aace4f58ca81663f",663,193.49,"6,735,910,163.48"
"011db2643e60444d9fdd431f6f8d8b9d",515,153.93,"791,264,644.32"
"011f18bb54e64bef8fd17d4aef8cce0e",505,157.35,"1,637,495,335.58"
"011f36587e2a44d5b217b45d864e426e",858,177.01,"5,007,541,988.44"
"011f3ee50084411f81b7d89daa9a5485",736,213.52,"4,934,256,659.69"
"01204d15d56744d097ee08776935e289",1349,328,"25,551,214,330.73"
"0120c221c89a4dcdb85bd64b5b3ab4d8",1479,334.33,"42,442,096,646.95"
"0120c8a941a34ebd88f32a59e56f7b28",1537,337.69,"15,951,391,027.92"
"0122983a3b26490497bc8b2b42491fc4",759,199.21,"3,154,408,349.29"
"012525d7f9ae4a329aa085d39848ab0c",743,306.32,"7,060,482,287.83"
"012777d432074ca888ac4f0545365ed1",494,142.44,"607,107,929.28"
"012c0a617e9647ce85962f851ab82547",1444,378.65,"21,683,347,873.87"
"012f473e0ebb40c19f4f2b2c58a9357a",344,105.51,"684,479,480.22"
"0130b00ca6924077b6fc017d209086da",1068,219.58,"6,216,282,519.35"
"0136b1e28d8e40328e98e40af06705d3",212,95.97,"682,982,590.43"
"013db12137e548aeb845d23e530090cc",1216,246.01,"14,806,651,235.80"
"01407595c56c4e939cac42e2a7767a1f",1641,328.21,"26,013,580,738.82"
"0140dcd274424e20a02303622e2f5d02",828,205.37,"2,642,676,560.05"
"014140bf190945e3a6984cc8f65bd37f",839,292.43,"5,164,411,665.40"
"014147ac34414a6caab3f9f14a0b4b05",975,322.55,"11,298,172,875.09"
"0141e070a0804552a92f4fdda359e38b",176,107.31,"557,761,266.73"
"0143e3609dea49408d4fbb32c4ad7be6",922,224.05,"4,449,384,737.66"
"014485a3feeb4afa9d0201dc5434f03a",1208,346.69,"16,699,230,005.74"
"0145d012414942d0b1df490eb2e22d74",877,318.3,"9,712,367,422.30"
"0149bae556704da7b7da5b2a8a5299dd",637,235.14,"2,930,556,860.70"
"0150455b18f14830b0e06b551d21a3c5",1427,384.12,"22,873,096,564.47"
"0150d830ea9e4f75bf97e35ff3b5f99d",953,269.63,"3,927,555,576.27"
"0153f0464d5d41fcb36db21ccb1535a5",687,267.64,"6,839,415,236.11"
"015490fa151940d98b27884da20ebc1c",913,335.04,"19,906,663,576.15"
"0155d035190349b9a0a2d79a97895be2",1412,313.1,"17,109,332,006.24"
"01572f4b239546c4a5eb64ed9f858c35",1344,292.18,"4,859,075,849.64"
"015942c0db6f43c3b56739aed91936e2",1067,279.52,"9,934,689,665.58"
"015df537c7744c0c97864dea14e9fa2c",91,39.02,"23,471,231.28"
"015e0ae26e6e41ccab2a26c994ccf322",705,227.83,"4,778,237,351.35"
"015e1fb5d8c94303ba962237e67ca4a9",763,171.29,"5,448,537,675.84"
"01648c62fc1449aea2e4ab7ea79b6755",1207,237.01,"13,039,791,967.76"
"016aec1d36604b9bbdfdcff162d2cc99",533,177.43,"3,670,363,481.78"
"016f0ec16a0543358b7c830987068255",668,154.95,"3,395,261,589.09"
"01751686e67f4182883b628fce16911e",1309,267.76,"14,795,647,673.78"
"0175716820c24876a01d09846059f567",816,212.24,"5,614,229,799.17"
"01797ef3c8d6473caebbe1e0ccf25cdb",814,250.44,"5,940,727,504.88"
"0179b37c0902468686b0ff7002631436",893,277.03,"9,368,425,568.65"
"017be0fd1b0a44d7a40e4558c2c86e02",1418,367.61,"24,487,393,800.73"
"017cf2d7627341e19d2e1a589db69c4a",840,277.52,"5,785,729,568.52"
"018103ad7b6a4d41aa47d1aca9deec04",381,115.08,"450,799,174.92"
"018371a4faec4c0d969f34fa794b1bb9",469,135.24,"1,512,943,973.19"
"0185519cb9e745209b1dd2041b03e777",969,325.88,"12,318,595,429.40"
"0186474ec692482d80e152aed119a917",32,48.02,"154,722,522.39"
"0187d05d166b4afe8f8a6f2042f493ec",1255,240.52,"12,795,769,139.91"
"018aaab3b6ad4e83ae3b4198d68b742c",1125,358.7,"13,659,975,650.68"
"018c1bfc85e4468db47da4ab844dafc0",1296,322.05,"11,115,407,326.40"
"018d6afa9ece4e3c9a26406836f99fb0",1026,208.57,"3,573,389,090.38"
"01919dde0c5c49288f5df7c03017c7b7",225,67.52,"741,659,107.24"
"0191b4d93d8c40dea10848898de1f236",535,191.46,"1,605,949,778.53"
